file,rhythmic_entropy,melodic_range,hnr,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rms_energy
H53N.mp3,-6233.975360439869,3993.9634,-26.756899,2001.2981875485707,2014.674163623902,0.0869133684257285,0.26850995
H3N.mp3,-5174.544229324792,3999.7163,-6.5390434,1750.0626686374428,1844.0654673681233,0.08301752953980099,0.29055208
H228N.mp3,-4346.0877381537775,4001.5193,3.4400098,1924.4332703428433,2046.3068792837676,0.08596908037935323,0.29341695
H246N.mp3,-5137.316261159,3985.1245,26.791151,1182.116346827932,1581.6094738795855,0.05044982953535892,0.20260163
H437N.mp3,-5230.517258141277,3985.817,4.624,1962.5799365420003,1834.8662119923913,0.10329421530739161,0.33326766
H438N.mp3,-4497.471491088063,3996.0354,-2.2741044,1884.5194309232406,1792.5884981223546,0.10558396632906894,0.16397692
H461N.mp3,-4991.672535820433,3999.3848,-110.08813,1400.3477591897417,1496.5401648138984,0.07240825726279318,0.20407133
H160N.mp3,-5514.865024817898,3953.9395,-41.485897,1773.6608527842393,1896.4564677823196,0.0775544709488273,0.13630426
H333N.mp3,-7897.211073325294,4001.9001,31.641693,2804.6988664425944,2040.631850720814,0.18429788834843638,0.14338571
H337N.mp3,-4280.804939817139,3984.9841,-61.304073,1960.9072173634077,2217.9731705420463,0.06665334044065388,0.24507824
H216N.mp3,-4958.5737530483875,3999.2136,0.5152106,1358.801626635829,1352.0533579166006,0.07377731876332623,0.12209954
H133N.mp3,-5046.9424931514395,3916.2378,-6.3431983,1894.4469430315485,2135.5224108521006,0.05372308379975124,0.32020873
H453N.mp3,-6084.80023559746,3893.273,0.68874127,1978.6195503642125,1820.877514320844,0.0915098752887349,0.07894655
H346N.mp3,-6168.140269780263,3657.813,6.522498,883.181410499502,1040.840679121874,0.04524114916488984,0.095067516
H331N.mp3,-6434.813738758809,3913.1863,3.8207436,1018.1984220330402,1209.2500645888854,0.053699832311656,0.16678572
H2N.mp3,-4784.769897814522,3070.4268,-17.817415,811.2299179907982,776.6577312975077,0.04646653729122246,0.18285796
H105N.mp3,-5839.942334061761,3778.0388,3.2069733,843.7339533875222,1277.2392588162404,0.020925992248578537,0.43252626
H18N.mp3,-5314.15556500018,3997.2803,2.7019694,1480.010197743556,1607.7336552423335,0.06219078991204691,0.23810047
H153N.mp3,-4403.274973872447,3984.3428,-19.661774,1725.1558531363605,1763.4493049714533,0.09045314721037669,0.11367251
H407N.mp3,-4714.867077134634,3880.558,-2.2419343,1487.4814652462335,1889.3211955739987,0.05206563443941009,0.1673231
